Player,Team,MP,PER
Shaquille Smith,Acadia,629,20.38806251
Kyle Arseneault,Acadia,517,19.88549486
Erik Nissen,Acadia,568,18.12385381
Ben Miller,Acadia,608,17.61682876
Kyle MacKinnon,Acadia,42,14.03233455
Nick De Palma,Acadia,616,13.11318509
AJ Simmonds,Acadia,404,11.96292624
Mitchell Tempro,Acadia,190,11.09623008
Thomas Johnston,Acadia,477,9.513966881
Nick Ernest,Acadia,72,2.195280393
Brett Dickie,Acadia,50,0.8757215043
Rhys Larry,Acadia,40,0
Andrew Scott,Acadia,45,-0.6942766459
Mamadou Gueye,Alberta,550,25.0092885
Brody Clarke,Alberta,515,18.70108484
Brett Roughead,Alberta,248,14.03789384
Colby Jackson,Alberta,512,13.47573511
Lyndon Annetts,Alberta,547,12.1836658
Rav Dhaliwal,Alberta,292,10.74206838
Sheldon Pittman,Alberta,306,8.779976076
Dwan Williams,Alberta,187,6.177413576
Ethan Dixon,Alberta,161,5.794858293
Andriy Halushko,Alberta,199,5.611747893
Ivan Ikomey,Alberta,224,4.98372158
Jonah Weyessa,Alberta,42,-3.446741523
Zach Buchan,Algoma,1,38.34604226
Andre Barber,Algoma,539,17.07150524
Sean Clendinning,Algoma,590,14.67026174
Reng Gum,Algoma,432,12.04044948
Cailum White,Algoma,252,11.64815768
Brett Zufelt,Algoma,504,11.52251235
Nathan Riley,Algoma,433,10.69302385
Adam Benrabah,Algoma,353,10.43329038
Nikola Zorcic,Algoma,29,9.326735545
Jermaine Lyle,Algoma,316,9.269878309
Eric Thompson Rivers,Algoma,92,8.903181231
Jacob Clendinning,Algoma,325,7.794349187
Nicholas Palazzi,Algoma,45,6.997130803
Kristjan Lamont,Algoma,137,0.7443829181
Ben Lusk,Bishop's,2,119.4668487
Forest Mahoney,Bishop's,1,56.19559459
Abdul Kamane,Bishop's,493,17.26673261
David Belanger,Bishop's,323,16.82476791
Jonathan Bermillo,Bishop's,484,15.29592763
Peter Weston,Bishop's,307,13.80265115
Nick Harvey,Bishop's,361,11.56551988
Jonah Fogg,Bishop's,148,8.998522473
Mathew Van doorn,Bishop's,64,6.990853404
Yassin Naji,Bishop's,311,5.860474445
Owen Martel,Bishop's,138,4.95855422
Duncan Lambert,Bishop's,208,4.865921963
Austin Macklem,Bishop's,235,3.724426159
Luay Abow,Bishop's,126,-3.430717705
Mitch Marquis,Brandon,18,24.70282689
Baka Ngeleka,Brandon,9,20.29555589
Earl Thompson Rivers Jr,Brandon,647,18.51454128
DJ Jordan,Brandon,595,16.43183731
Troy Grant,Brandon,392,16.19801784
Tyler Anderson,Brandon,183,12.36278286
John Paul,Brandon,418,11.35744697
Chris Stanhope,Brandon,580,10.17628568
Denham Buchanan,Brandon,229,7.579116134
Esmat Atem,Brandon,240,7.448280182
Pookie Saunders,Brandon,495,6.878886127
Keneal James,Brandon,190,2.341563782
Ryan Hawley,Brandon,4,-13.94274811
Dani Elgadi,Brock,652,27.05940251
Johneil Simpson,Brock,630,18.12580847
Matt Marshall,Brock,563,17.76912938
Ryan Bennett,Brock,547,14.14737329
Tyler Brown,Brock,467,12.83130081
Colin Connors,Brock,25,11.32683759
Zachary Angelini,Brock,281,10.99998519
Nolan Mackenzie,Brock,309,7.886185335
Elijah Green,Brock,58,6.039282019
Nate Gardner,Brock,124,5.314283208
Mitch Saunders,Brock,84,4.201275125
Kane Annesley,Brock,42,2.989203693
Tristan Thompson Rivers,Brock,80,1.485076959
Shemar Mensah,Brock,5,-17.14653203
Thomas Cooper,Calgary,660,27.55035859
David Kapinga,Calgary,372,18.21436188
Mitch Ligertwood,Calgary,127,17.63453741
Jasdeep Gill,Calgary,269,17.58294994
Lars Schlueter,Calgary,539,17.56067225
Dallas Karch,Calgary,298,16.48383379
Connor Foreman,Calgary,134,15.4610305
Josh Owen-Thomas,Calgary,477,14.10049856
Matt Letkeman,Calgary,279,13.86306282
Matt Ellis,Calgary,187,12.76334653
Torrez McKoy,Calgary,422,10.2171156
Jhony Verrone,Calgary,286,10.04484285
Corey Hauck,Calgary,2,-52.42115771
Meshack Lufile,Cape Breton,541,27.64265326
Kenny Jean-Louis,Cape Breton,623,20.41041089
Tevin Bartley,Cape Breton,124,16.92749955
Cedric Kasongo,Cape Breton,544,15.53379058
Seth Amoah,Cape Breton,462,15.38531261
Daoud Soukary,Cape Breton,33,13.21172386
Jack MacAulay,Cape Breton,360,12.15477195
Kelson Devereaux,Cape Breton,570,12.10855842
AJ Geugjes,Cape Breton,223,11.20979184
Christian Affolter,Cape Breton,170,10.98359324
Kayon Mayers,Cape Breton,120,9.400964156
Kyle Hankins,Cape Breton,280,9.116728679
Joey Liem,Cape Breton,65,0.02396191029
Mitchell Jackson,Carleton,122,31.73792513
Guillaume Boucard,Carleton,409,29.50837682
Kaza Kajami-Keane,Carleton,508,27.26929168
Ryan Ejim,Carleton,345,25.47101515
Cameron Smythe,Carleton,328,24.03896837
Connor Wood,Carleton,478,23.71765086
Sheldon McIntosh,Carleton,32,21.16738929
Gavin Resch,Carleton,488,19.16314175
Mitchell Wood,Carleton,345,15.437941
Stanley Mayambo,Carleton,214,14.93288341
Marcus Anderson,Carleton,320,10.80631406
Tajinder Lall,Carleton,161,9.59202634
Glenn Thelemaque,Carleton,15,7.21395406
Yasiin Joseph,Carleton,37,-0.09006909457
Ahmadu-Tijani Umar,Concordia,309,23.2426206
Ken Beaulieu,Concordia,471,21.79373572
Michael Fosu,Concordia,332,21.37981156
Inti Salinas,Concordia,108,16.14022326
Jaleel Webb,Concordia,466,12.28953264
Xander Jean,Concordia,68,11.58844412
Garry Merisier,Concordia,193,9.281889804
Ricardo Monge,Concordia,482,8.234103828
Schneiders Suffrard,Concordia,491,6.420914498
Jean-Daniel Mathieu,Concordia,188,1.675370798
Frank Mpeck,Concordia,145,0.01083785699
Jonathan Mirambeau,Concordia,6,-5.929988571
Kiari Gerba,Concordia,8,-27.69714481
Kashrell Lawrence,Dalhousie,541,25.89940184
Ritchie Kanza Mata,Dalhousie,595,18.56058007
Matt McVeigh,Dalhousie,86,17.39574249
Sven Stammberger,Dalhousie,591,17.29256621
Jarred Reid,Dalhousie,442,14.48427808
Sascha Kappos,Dalhousie,173,12.9414607
Jordan Aquino-Serjue,Dalhousie,478,12.66927554
William Yengue,Dalhousie,291,12.56597136
Alex Petronis,Dalhousie,149,11.85231529
Cedric Sanogo,Dalhousie,371,11.32377035
Adam Karmali,Dalhousie,117,11.05953287
Sean Dodds,Dalhousie,123,9.813175814
Kevin Duong,Dalhousie,170,2.633369274
Ross Crichton,Dalhousie,3,-16.73316057
Nathan Klassen,Guelph,2,39.76674711
