No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
15,Kyle Arseneault,15,15,517,34.5,97,196,49.5,53,115,46.1,33,43,76.7,14,72,86,5.7,37,-,18,1.2,22,1.5,0.8,3,0.2,10,0.7,280,18.7,Acadia
22,Shaquille Smith,20,20,629,31.5,134,252,53.2,7,42,16.7,60,97,61.9,31,68,99,5.0,64,1,52,2.6,62,3.1,0.8,11,0.6,45,2.3,335,16.8,Acadia
11,Erik Nissen,20,19,568,28.4,122,242,50.4,5,11,45.5,46,68,67.6,49,119,168,8.4,74,5,14,0.7,63,3.2,0.2,21,1.1,19,1.0,295,14.8,Acadia
9,Ben Miller,19,18,608,32.0,82,222,36.9,39,117,33.3,56,67,83.6,26,91,117,6.2,55,3,111,5.8,56,2.9,2.0,5,0.3,33,1.7,259,13.6,Acadia
8,Nick De Palma,20,19,616,30.8,82,223,36.8,59,158,37.3,23,25,92.0,13,53,66,3.3,38,1,45,2.3,31,1.6,1.5,0,0.0,20,1.0,246,12.3,Acadia
4,AJ Simmonds,18,2,404,22.4,47,139,33.8,34,97,35.1,17,24,70.8,7,45,52,2.9,16,0,36,2.0,28,1.6,1.3,0,0.0,20,1.1,145,8.1,Acadia
10,Thomas Johnston,20,8,477,23.9,30,70,42.9,12,34,35.3,16,20,80.0,25,51,76,3.8,39,0,25,1.3,9,0.5,2.8,0,0.0,15,0.8,88,4.4,Acadia
5,Mitchell Tempro,20,-,190,9.5,17,36,47.2,2,4,50.0,18,24,75.0,11,17,28,1.4,32,0,8,0.4,4,0.2,2.0,0,0.0,5,0.3,54,2.7,Acadia
13,Nick Ernest,3,1,72,24.0,2,4,50.0,0,0,-,0,2,0.0,3,8,11,3.7,5,-,0,0.0,3,1.0,0.0,1,0.3,1,0.3,4,1.3,Acadia
6,Kyle MacKinnon,12,-,42,3.5,6,11,54.5,4,6,66.7,0,0,-,0,8,8,0.7,3,0,3,0.3,5,0.4,0.6,0,0.0,2,0.2,16,1.3,Acadia
12,Brett Dickie,11,1,50,4.5,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,1,0.1,0,0.0,Acadia
24,Rhys Larry,1,1,40,40.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Acadia
21,Andrew Scott,10,1,45,4.5,0,1,0.0,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Acadia
11,Mamadou Gueye,20,20,550,27.5,120,278,43.2,19,55,34.5,108,141,76.6,26,121,147,7.4,46,1,35,1.8,77,3.9,0.5,4,0.2,20,1.0,367,18.4,Alberta
