MIN,FG,FGA,3P,3PA,FT,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
37,5,14,1,5,6,7,0,5,5,3,2,0,2,2,17
36,5,14,1,4,7,11,1,4,5,3,1,0,4,2,18
32,7,14,1,4,6,7,0,1,1,4,1,0,1,0,21
37,5,17,1,4,9,9,2,4,6,4,3,0,6,2,20
37,13,21,1,2,6,6,1,2,3,4,2,1,3,4,33
41,12,19,0,2,4,5,0,4,4,4,4,0,1,1,28
37,11,20,1,4,8,8,0,4,4,3,3,0,1,3,31
32,8,18,2,5,6,7,0,8,8,3,4,0,1,0,24
35,15,22,2,5,10,13,0,2,2,6,4,0,2,1,42
37,10,24,2,6,12,14,0,2,2,0,0,0,5,2,34
35,7,15,0,2,8,8,1,3,4,3,2,0,3,2,22
29,7,17,3,6,4,5,1,6,7,4,1,0,0,2,21
34,11,21,2,4,10,11,0,4,4,3,3,0,0,1,34
28,13,20,2,5,7,7,1,7,8,2,1,0,2,1,35
36,13,19,3,6,14,15,0,1,1,2,3,0,6,1,43
34,10,21,2,5,10,12,0,5,5,2,2,0,5,1,32
34,7,20,0,5,5,5,1,2,3,5,1,0,1,1,19
34,14,21,1,4,11,14,0,4,4,3,1,0,2,3,40
34,5,20,0,4,13,13,2,4,6,9,1,0,1,3,23
35,7,20,0,6,9,11,2,5,7,9,2,0,3,4,23
