MIN,FG,FGA,3P,3PA,FT,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
26,7,23,1,2,9,10,6,6,12,1,0,0,1,3,24
28,10,20,5,6,1,3,0,8,8,1,3,0,4,0,26
41,13,26,5,7,7,9,2,6,8,4,0,0,3,2,38
41,10,24,1,2,2,2,2,8,10,2,2,0,7,1,23
41,10,24,1,2,2,2,2,8,10,2,2,0,7,1,23
41,10,24,1,2,2,2,2,8,10,2,2,0,7,1,23
33,12,26,0,5,7,9,2,8,10,0,3,0,6,3,31
34,8,20,4,8,15,16,2,5,7,2,0,0,2,2,35
33,6,16,1,6,7,8,0,6,6,3,2,0,1,1,20
36,9,27,0,9,4,5,1,6,7,4,4,0,2,2,22
36,5,16,2,6,9,10,2,7,9,6,0,0,2,1,21
29,4,14,1,3,2,4,2,6,8,5,0,0,4,3,11
38,9,20,4,11,6,7,1,4,5,6,1,0,4,1,28
30,7,14,1,2,8,8,2,5,7,3,0,0,4,1,23
26,9,15,5,7,5,8,1,4,5,1,0,0,0,0,28
31,7,16,1,6,9,10,3,4,7,3,0,0,2,0,24
35,8,17,1,6,10,13,1,4,5,10,1,0,5,0,27
32,13,26,4,5,12,13,2,4,6,2,1,0,4,3,42
32,13,19,2,4,2,2,1,5,6,3,3,0,4,1,30
31,5,11,0,2,9,11,0,8,8,1,1,1,7,1,19
