NAME,GP,FG,FGA,PCT,3PT,3PTA,PCT,FT,FTA,PCT,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
Acadia,20,619,1396,44.3,215,584,36.8,269,370,72.7,10.4,28.6,38.9,15.6,14.5,8.6,2.1,18.2,86.1
Alberta,20,471,1202,39.2,147,512,28.7,278,379,73.4,10.9,29.6,40.5,12.2,17.2,6.4,2.8,18.0,68.4
Algoma,20,453,1305,34.7,139,450,30.9,267,390,68.5,10.0,23.6,33.6,8.0,14.4,8.8,2.6,20.6,65.6
Bishop's,16,374,1007,37.1,88,306,28.8,223,352,63.4,12.8,25.1,37.9,9.9,19.8,8.4,1.1,20.3,66.2
Brandon,20,536,1354,39.6,134,444,30.2,208,374,55.6,12.4,26.9,39.2,11.6,17.3,8.4,2.7,19.8,70.7
Brock,19,539,1331,40.5,116,377,30.8,280,403,69.5,14.1,30.3,44.4,14.3,16.2,8.4,4.2,20.4,77.6
Calgary,20,615,1399,44.0,183,481,38.0,359,502,71.5,12.9,30.9,43.8,14.7,14.6,8.0,2.7,19.3,88.6
Cape Breton,20,635,1363,46.6,104,351,29.6,273,412,66.3,11.5,31.1,42.6,20.3,19.9,8.4,2.9,18.3,82.4
Carleton,19,633,1312,48.2,162,435,37.2,209,286,73.1,15.1,30.0,45.1,17.7,13.9,9.0,3.5,18.0,86.2
Concordia,16,374,1019,36.7,90,364,24.7,229,338,67.8,9.9,26.8,36.7,11.5,18.4,7.6,3.1,18.1,66.7
Dalhousie,20,579,1309,44.2,136,409,33.3,227,352,64.5,11.2,26.1,37.2,16.3,14.2,8.1,1.3,18.2,76.1
Guelph,19,529,1332,39.7,116,369,31.4,286,399,71.7,10.4,24.7,35.1,11.2,14.4,7.5,3.4,20.3,76.8
Lakehead,19,482,1203,40.1,143,464,30.8,239,351,68.1,10.1,25.9,36.0,10.5,13.2,5.1,2.2,16.9,70.8
Laurentian,19,479,1289,37.2,143,457,31.3,237,324,73.1,11.3,24.1,35.4,12.8,16.3,6.2,2.0,19.4,70.4
Laurier,20,572,1504,38.0,156,481,32.4,288,434,66.4,13.2,24.7,37.9,12.4,12.4,7.6,3.8,17.7,79.4
Laval,16,421,1088,38.7,144,429,33.6,212,350,60.6,11.4,25.4,36.8,15.2,16.8,8.0,1.8,19.9,74.9
Lethbridge,20,612,1327,46.1,178,477,37.3,312,442,70.6,11.6,27.1,38.7,16.4,16.7,10.7,3.0,20.3,85.7
MacEwan,20,523,1253,41.7,145,434,33.4,262,381,68.8,10.5,25.1,35.6,14.6,15.3,7.9,2.1,19.3,72.7
Manitoba,20,606,1381,43.9,132,402,32.8,308,466,66.1,13.3,30.0,43.3,16.9,14.3,8.0,2.3,19.8,82.6
McGill,16,440,1092,40.3,105,372,28.2,181,293,61.8,15.6,26.4,41.9,15.6,17.1,9.0,3.0,21.2,72.9
McMaster,19,578,1296,44.6,144,467,30.8,306,461,66.4,12.1,27.1,39.2,15.2,15.4,10.4,3.6,18.0,84.5
Memorial,20,593,1432,41.4,133,462,28.8,338,461,73.3,11.0,26.3,37.3,16.2,14.6,7.0,2.6,15.8,82.9
Mount Royal,20,564,1303,43.3,105,353,29.7,321,531,60.5,12.7,26.1,38.8,13.5,17.4,8.2,5.7,17.2,77.7
Nipissing,19,417,1119,37.3,90,307,29.3,265,358,74.0,11.1,22.3,33.3,13.1,18.7,6.4,1.6,15.9,62.6
Ottawa,19,590,1224,48.2,191,532,35.9,280,396,70.7,11.1,29.6,40.7,16.2,14.1,9.6,4.8,15.9,86.9
Queen's,19,516,1215,42.5,137,404,33.9,300,418,71.8,10.9,27.8,38.7,10.6,14.8,5.9,3.2,17.2,77.3
Regina,20,583,1397,41.7,136,451,30.2,318,486,65.4,14.1,29.2,43.2,13.9,15.7,9.8,2.9,19.8,81.0
Ryerson,19,608,1389,43.8,205,573,35.8,275,362,76.0,12.9,31.5,44.5,14.9,13.6,8.8,4.6,18.2,89.3
Saint Mary's,20,626,1395,44.9,103,352,29.3,321,465,69.0,12.9,28.1,41.0,14.4,14.3,7.5,2.6,19.4,83.8
Saskatchewan,20,538,1297,41.5,202,573,35.3,290,409,70.9,11.7,26.8,38.5,11.8,15.3,7.2,2.1,20.5,78.4
StFX,20,597,1377,43.4,110,335,32.8,295,434,68.0,11.3,25.9,37.2,17.4,15.2,7.7,1.5,18.0,80.0
Thompson Rivers,20,593,1292,45.9,159,437,36.4,273,360,75.8,10.0,29.5,39.5,16.5,14.2,7.7,3.2,16.7,80.9
Toronto,19,508,1268,40.1,142,436,32.6,263,357,73.7,12.7,26.8,39.5,11.6,15.1,6.3,2.5,18.3,74.8
Trinity Western,20,511,1328,38.5,149,453,32.9,275,380,72.4,9.7,28.1,37.7,11.3,15.6,5.7,2.6,19.6,72.3
UBC,20,596,1271,46.9,142,432,32.9,337,459,73.4,11.3,32.7,44.0,15.1,17.3,7.0,3.3,19.0,83.6
UBC Okanagan,20,477,1201,39.7,141,434,32.5,248,332,74.7,10.9,24.1,35.0,11.7,16.3,5.0,1.2,20.9,67.2
UFV,20,537,1226,43.8,167,462,36.1,249,327,76.1,9.8,29.7,39.5,15.0,14.0,6.0,3.4,16.2,74.5
UNB,20,642,1504,42.7,216,617,35.0,326,404,80.7,10.4,26.4,36.8,18.9,11.7,8.4,2.0,22.7,91.3
UNBC,20,464,1196,38.8,189,537,35.2,253,371,68.2,9.8,21.4,31.2,10.8,12.2,6.3,1.6,17.6,68.5
UPEI,20,671,1553,43.2,169,521,32.4,355,503,70.6,15.0,30.5,45.4,17.9,13.5,7.3,2.8,17.6,93.3
UQAM,16,430,1094,39.3,88,284,31.0,227,364,62.4,12.6,30.6,43.3,13.6,16.2,8.2,4.9,22.2,73.4
Victoria,20,523,1266,41.3,149,451,33.0,243,334,72.8,10.5,26.7,37.2,11.0,13.0,5.6,2.8,18.5,71.9
