NAME,GP,FG,FGA,PCT,3PT,3PTA,PCT,OFF,DEF,REB,MRGN,AST,TO,STL,BLK,PF,PTS
Acadia,20,643,1454,44.2,127,449,28.3,14.0,30.2,44.2,-5.3,15.7,14.2,7.9,1.6,16.8,86.1
Alberta,20,501,1274,39.3,156,506,30.8,9.9,28.0,37.9,2.6,13.6,13.1,8.4,2.9,19.9,71.3
Algoma,20,524,1277,41.0,146,448,32.6,12.1,28.8,40.8,-7.3,9.7,14.8,7.6,2.6,19.0,74.7
Bishop's,16,432,1052,41.1,117,355,33.0,13.4,26.6,39.9,-2.1,13.6,16.6,9.6,2.8,19.9,75.4
Brandon,20,600,1311,45.8,157,427,36.8,12.0,32.3,44.3,-5.1,15.3,17.2,8.7,2.7,17.1,83.5
Brock,19,495,1279,38.7,115,393,29.3,12.5,28.8,41.3,3.1,11.2,16.7,7.9,3.9,18.9,73.1
Calgary,20,552,1418,38.9,140,509,27.5,14.1,29.0,43.0,0.8,10.9,17.0,8.1,3.5,21.2,77.0
Cape Breton,20,594,1485,40.0,168,516,32.6,12.2,24.4,36.6,6.1,16.7,13.7,10.9,1.2,18.5,82.6
Carleton,19,386,1140,33.9,141,464,30.4,10.4,19.7,30.2,14.9,11.2,15.6,6.5,3.2,16.3,60.7
Concordia,16,384,1077,35.7,92,347,26.5,12.0,27.7,39.7,-3.0,9.8,17.5,8.0,2.3,21.6,65.0
Dalhousie,20,542,1230,44.1,140,422,33.2,9.1,26.5,35.6,1.7,14.9,14.7,5.8,2.5,16.7,74.1
Guelph,19,540,1290,41.9,108,355,30.4,11.9,29.7,41.6,-6.5,12.7,15.6,8.1,3.7,20.6,79.1
Lakehead,19,522,1252,41.7,151,449,33.6,10.3,26.2,36.5,-0.5,11.4,11.8,5.3,2.8,17.5,74.7
Laurentian,19,552,1299,42.5,152,457,33.3,12.0,27.7,39.7,-4.3,14.8,14.6,8.7,3.8,18.0,81.8
Laurier,20,626,1426,43.9,123,403,30.5,14.2,32.3,46.4,-8.6,12.1,15.6,7.7,2.6,18.7,84.3
Laval,16,428,1054,40.6,109,395,27.6,12.6,27.9,40.5,-3.7,16.5,19.8,7.6,3.2,20.7,72.3
Lethbridge,20,544,1291,42.1,192,560,34.3,11.7,25.9,37.6,1.1,16.7,18.3,8.6,3.5,18.2,78.3
MacEwan,20,512,1238,41.4,162,457,35.4,12.3,26.4,38.7,-3.1,16.0,15.8,7.5,3.3,17.9,73.4
Manitoba,20,558,1354,41.2,134,416,32.2,12.0,28.9,40.9,2.4,13.5,15.8,6.6,2.3,20.9,76.7
